// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 7 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\366f48cd-eb93-4d29-8976-ae650e804c0e
// command took 2.22s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\366f48cd-eb93-4d29-8976-ae650e804c0e
// command took 5.78s and exited with 0
// ***** Done, took 00:00:08 (8.2 sec)   *****
// Found 7 benchmarks:
//   Benchmarker.MultiplyAvx: Core(Runtime=Core)
//   Benchmarker.MultiplyAvxWSpanPtr: Core(Runtime=Core)
//   Benchmarker.MultiplyFma: Core(Runtime=Core)
//   Benchmarker.MultiplyFmaWSpanPtr: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicSingle: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup4: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup8: Core(Runtime=Core)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Benchmarker.MultiplyAvx: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "366f48cd-eb93-4d29-8976-ae650e804c0e.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyAvx" --job "Core" --benchmarkId 0 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\366f48cd-eb93-4d29-8976-ae650e804c0e\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadActual  20: 2048 op, 5300.00 ns, 2.5879 ns/op

WorkloadWarmup   1: 2048 op, 879291900.00 ns, 429.3417 us/op
WorkloadWarmup   2: 2048 op, 855178800.00 ns, 417.5678 us/op
WorkloadWarmup   3: 2048 op, 821768900.00 ns, 401.2543 us/op
WorkloadWarmup   4: 2048 op, 830866000.00 ns, 405.6963 us/op
WorkloadWarmup   5: 2048 op, 841699800.00 ns, 410.9862 us/op
WorkloadWarmup   6: 2048 op, 841891600.00 ns, 411.0799 us/op
WorkloadWarmup   7: 2048 op, 831867800.00 ns, 406.1854 us/op
WorkloadWarmup   8: 2048 op, 831861500.00 ns, 406.1824 us/op
WorkloadWarmup   9: 2048 op, 893840500.00 ns, 436.4456 us/op
WorkloadWarmup  10: 2048 op, 886040800.00 ns, 432.6371 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 865034800.00 ns, 422.3803 us/op
WorkloadActual   2: 2048 op, 881878100.00 ns, 430.6045 us/op
WorkloadActual   3: 2048 op, 1032206100.00 ns, 504.0069 us/op
WorkloadActual   4: 2048 op, 1080812600.00 ns, 527.7405 us/op
WorkloadActual   5: 2048 op, 913459100.00 ns, 446.0250 us/op
WorkloadActual   6: 2048 op, 862349600.00 ns, 421.0691 us/op
WorkloadActual   7: 2048 op, 831472300.00 ns, 405.9923 us/op
WorkloadActual   8: 2048 op, 827188600.00 ns, 403.9007 us/op
WorkloadActual   9: 2048 op, 840603200.00 ns, 410.4508 us/op
WorkloadActual  10: 2048 op, 858539600.00 ns, 419.2088 us/op
WorkloadActual  11: 2048 op, 821977200.00 ns, 401.3561 us/op
WorkloadActual  12: 2048 op, 796496400.00 ns, 388.9143 us/op
WorkloadActual  13: 2048 op, 867227400.00 ns, 423.4509 us/op
WorkloadActual  14: 2048 op, 834170700.00 ns, 407.3099 us/op
WorkloadActual  15: 2048 op, 840715200.00 ns, 410.5055 us/op
WorkloadActual  16: 2048 op, 846080600.00 ns, 413.1253 us/op
WorkloadActual  17: 2048 op, 854276300.00 ns, 417.1271 us/op
WorkloadActual  18: 2048 op, 878497300.00 ns, 428.9538 us/op
WorkloadActual  19: 2048 op, 832359000.00 ns, 406.4253 us/op
WorkloadActual  20: 2048 op, 857117200.00 ns, 418.5143 us/op
WorkloadActual  21: 2048 op, 943428800.00 ns, 460.6586 us/op
WorkloadActual  22: 2048 op, 869839200.00 ns, 424.7262 us/op
WorkloadActual  23: 2048 op, 1038297400.00 ns, 506.9812 us/op
WorkloadActual  24: 2048 op, 950094500.00 ns, 463.9133 us/op
WorkloadActual  25: 2048 op, 877205300.00 ns, 428.3229 us/op
WorkloadActual  26: 2048 op, 927411100.00 ns, 452.8375 us/op
WorkloadActual  27: 2048 op, 935443500.00 ns, 456.7595 us/op
WorkloadActual  28: 2048 op, 899546000.00 ns, 439.2314 us/op
WorkloadActual  29: 2048 op, 905970000.00 ns, 442.3682 us/op
WorkloadActual  30: 2048 op, 793064900.00 ns, 387.2387 us/op
WorkloadActual  31: 2048 op, 827046900.00 ns, 403.8315 us/op
WorkloadActual  32: 2048 op, 835351400.00 ns, 407.8864 us/op
WorkloadActual  33: 2048 op, 812756900.00 ns, 396.8540 us/op
WorkloadActual  34: 2048 op, 786408700.00 ns, 383.9886 us/op
WorkloadActual  35: 2048 op, 819920800.00 ns, 400.3520 us/op
WorkloadActual  36: 2048 op, 816547300.00 ns, 398.7047 us/op
WorkloadActual  37: 2048 op, 805396100.00 ns, 393.2598 us/op
WorkloadActual  38: 2048 op, 819000700.00 ns, 399.9027 us/op
WorkloadActual  39: 2048 op, 838794400.00 ns, 409.5676 us/op
WorkloadActual  40: 2048 op, 781902100.00 ns, 381.7881 us/op
WorkloadActual  41: 2048 op, 778489600.00 ns, 380.1219 us/op
WorkloadActual  42: 2048 op, 784700600.00 ns, 383.1546 us/op
WorkloadActual  43: 2048 op, 777209100.00 ns, 379.4966 us/op
WorkloadActual  44: 2048 op, 780482200.00 ns, 381.0948 us/op
WorkloadActual  45: 2048 op, 917791100.00 ns, 448.1402 us/op
WorkloadActual  46: 2048 op, 1040056900.00 ns, 507.8403 us/op
WorkloadActual  47: 2048 op, 996491500.00 ns, 486.5681 us/op
WorkloadActual  48: 2048 op, 962674200.00 ns, 470.0558 us/op
WorkloadActual  49: 2048 op, 1107115400.00 ns, 540.5837 us/op
WorkloadActual  50: 2048 op, 1487994900.00 ns, 726.5600 us/op
WorkloadActual  51: 2048 op, 1271061300.00 ns, 620.6354 us/op
WorkloadActual  52: 2048 op, 1054881000.00 ns, 515.0786 us/op
WorkloadActual  53: 2048 op, 1056185400.00 ns, 515.7155 us/op
WorkloadActual  54: 2048 op, 1143789800.00 ns, 558.4911 us/op
WorkloadActual  55: 2048 op, 1236816100.00 ns, 603.9141 us/op
WorkloadActual  56: 2048 op, 1019914400.00 ns, 498.0051 us/op
WorkloadActual  57: 2048 op, 947946500.00 ns, 462.8645 us/op
WorkloadActual  58: 2048 op, 973562000.00 ns, 475.3721 us/op
WorkloadActual  59: 2048 op, 1109658300.00 ns, 541.8253 us/op
WorkloadActual  60: 2048 op, 981765600.00 ns, 479.3777 us/op
WorkloadActual  61: 2048 op, 948030700.00 ns, 462.9056 us/op
WorkloadActual  62: 2048 op, 905029700.00 ns, 441.9090 us/op
WorkloadActual  63: 2048 op, 810940900.00 ns, 395.9672 us/op
WorkloadActual  64: 2048 op, 808676500.00 ns, 394.8616 us/op
WorkloadActual  65: 2048 op, 813540200.00 ns, 397.2364 us/op
WorkloadActual  66: 2048 op, 775447200.00 ns, 378.6363 us/op
WorkloadActual  67: 2048 op, 811436700.00 ns, 396.2093 us/op
WorkloadActual  68: 2048 op, 813313200.00 ns, 397.1256 us/op
WorkloadActual  69: 2048 op, 885988200.00 ns, 432.6114 us/op
WorkloadActual  70: 2048 op, 792188100.00 ns, 386.8106 us/op
WorkloadActual  71: 2048 op, 865641600.00 ns, 422.6766 us/op
WorkloadActual  72: 2048 op, 845500000.00 ns, 412.8418 us/op
WorkloadActual  73: 2048 op, 915730500.00 ns, 447.1340 us/op
WorkloadActual  74: 2048 op, 908208200.00 ns, 443.4610 us/op
WorkloadActual  75: 2048 op, 973098700.00 ns, 475.1458 us/op
WorkloadActual  76: 2048 op, 828130700.00 ns, 404.3607 us/op
WorkloadActual  77: 2048 op, 834040000.00 ns, 407.2461 us/op
WorkloadActual  78: 2048 op, 792130900.00 ns, 386.7827 us/op
WorkloadActual  79: 2048 op, 844773000.00 ns, 412.4868 us/op
WorkloadActual  80: 2048 op, 820441200.00 ns, 400.6061 us/op
WorkloadActual  81: 2048 op, 809814600.00 ns, 395.4173 us/op
WorkloadActual  82: 2048 op, 761566700.00 ns, 371.8587 us/op
WorkloadActual  83: 2048 op, 814367100.00 ns, 397.6402 us/op
WorkloadActual  84: 2048 op, 757636000.00 ns, 369.9395 us/op
WorkloadActual  85: 2048 op, 791471600.00 ns, 386.4607 us/op
WorkloadActual  86: 2048 op, 792348700.00 ns, 386.8890 us/op
WorkloadActual  87: 2048 op, 833250400.00 ns, 406.8605 us/op
WorkloadActual  88: 2048 op, 801452400.00 ns, 391.3342 us/op
WorkloadActual  89: 2048 op, 742824400.00 ns, 362.7072 us/op
WorkloadActual  90: 2048 op, 906533200.00 ns, 442.6432 us/op
WorkloadActual  91: 2048 op, 865133400.00 ns, 422.4284 us/op
WorkloadActual  92: 2048 op, 795380900.00 ns, 388.3696 us/op
WorkloadActual  93: 2048 op, 798520100.00 ns, 389.9024 us/op
WorkloadActual  94: 2048 op, 796279500.00 ns, 388.8083 us/op
WorkloadActual  95: 2048 op, 852343800.00 ns, 416.1835 us/op
WorkloadActual  96: 2048 op, 760224800.00 ns, 371.2035 us/op
WorkloadActual  97: 2048 op, 813185600.00 ns, 397.0633 us/op
WorkloadActual  98: 2048 op, 803548500.00 ns, 392.3577 us/op
WorkloadActual  99: 2048 op, 781330300.00 ns, 381.5089 us/op
WorkloadActual  100: 2048 op, 809142000.00 ns, 395.0889 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 865030550.00 ns, 422.3782 us/op
WorkloadResult   2: 2048 op, 881873850.00 ns, 430.6025 us/op
WorkloadResult   3: 2048 op, 1032201850.00 ns, 504.0048 us/op
WorkloadResult   4: 2048 op, 913454850.00 ns, 446.0229 us/op
WorkloadResult   5: 2048 op, 862345350.00 ns, 421.0671 us/op
WorkloadResult   6: 2048 op, 831468050.00 ns, 405.9903 us/op
WorkloadResult   7: 2048 op, 827184350.00 ns, 403.8986 us/op
WorkloadResult   8: 2048 op, 840598950.00 ns, 410.4487 us/op
WorkloadResult   9: 2048 op, 858535350.00 ns, 419.2067 us/op
WorkloadResult  10: 2048 op, 821972950.00 ns, 401.3540 us/op
WorkloadResult  11: 2048 op, 796492150.00 ns, 388.9122 us/op
WorkloadResult  12: 2048 op, 867223150.00 ns, 423.4488 us/op
WorkloadResult  13: 2048 op, 834166450.00 ns, 407.3078 us/op
WorkloadResult  14: 2048 op, 840710950.00 ns, 410.5034 us/op
WorkloadResult  15: 2048 op, 846076350.00 ns, 413.1232 us/op
WorkloadResult  16: 2048 op, 854272050.00 ns, 417.1250 us/op
WorkloadResult  17: 2048 op, 878493050.00 ns, 428.9517 us/op
WorkloadResult  18: 2048 op, 832354750.00 ns, 406.4232 us/op
WorkloadResult  19: 2048 op, 857112950.00 ns, 418.5122 us/op
WorkloadResult  20: 2048 op, 943424550.00 ns, 460.6565 us/op
WorkloadResult  21: 2048 op, 869834950.00 ns, 424.7241 us/op
WorkloadResult  22: 2048 op, 1038293150.00 ns, 506.9791 us/op
WorkloadResult  23: 2048 op, 950090250.00 ns, 463.9113 us/op
WorkloadResult  24: 2048 op, 877201050.00 ns, 428.3208 us/op
WorkloadResult  25: 2048 op, 927406850.00 ns, 452.8354 us/op
WorkloadResult  26: 2048 op, 935439250.00 ns, 456.7574 us/op
WorkloadResult  27: 2048 op, 899541750.00 ns, 439.2294 us/op
WorkloadResult  28: 2048 op, 905965750.00 ns, 442.3661 us/op
WorkloadResult  29: 2048 op, 793060650.00 ns, 387.2366 us/op
WorkloadResult  30: 2048 op, 827042650.00 ns, 403.8294 us/op
WorkloadResult  31: 2048 op, 835347150.00 ns, 407.8844 us/op
WorkloadResult  32: 2048 op, 812752650.00 ns, 396.8519 us/op
WorkloadResult  33: 2048 op, 786404450.00 ns, 383.9865 us/op
WorkloadResult  34: 2048 op, 819916550.00 ns, 400.3499 us/op
WorkloadResult  35: 2048 op, 816543050.00 ns, 398.7027 us/op
WorkloadResult  36: 2048 op, 805391850.00 ns, 393.2577 us/op
WorkloadResult  37: 2048 op, 818996450.00 ns, 399.9006 us/op
WorkloadResult  38: 2048 op, 838790150.00 ns, 409.5655 us/op
WorkloadResult  39: 2048 op, 781897850.00 ns, 381.7861 us/op
WorkloadResult  40: 2048 op, 778485350.00 ns, 380.1198 us/op
WorkloadResult  41: 2048 op, 784696350.00 ns, 383.1525 us/op
WorkloadResult  42: 2048 op, 777204850.00 ns, 379.4946 us/op
WorkloadResult  43: 2048 op, 780477950.00 ns, 381.0927 us/op
WorkloadResult  44: 2048 op, 917786850.00 ns, 448.1381 us/op
WorkloadResult  45: 2048 op, 1040052650.00 ns, 507.8382 us/op
WorkloadResult  46: 2048 op, 996487250.00 ns, 486.5660 us/op
WorkloadResult  47: 2048 op, 962669950.00 ns, 470.0537 us/op
WorkloadResult  48: 2048 op, 1054876750.00 ns, 515.0765 us/op
WorkloadResult  49: 2048 op, 1056181150.00 ns, 515.7135 us/op
WorkloadResult  50: 2048 op, 1019910150.00 ns, 498.0030 us/op
WorkloadResult  51: 2048 op, 947942250.00 ns, 462.8624 us/op
WorkloadResult  52: 2048 op, 973557750.00 ns, 475.3700 us/op
WorkloadResult  53: 2048 op, 981761350.00 ns, 479.3757 us/op
WorkloadResult  54: 2048 op, 948026450.00 ns, 462.9035 us/op
WorkloadResult  55: 2048 op, 905025450.00 ns, 441.9070 us/op
WorkloadResult  56: 2048 op, 810936650.00 ns, 395.9652 us/op
WorkloadResult  57: 2048 op, 808672250.00 ns, 394.8595 us/op
WorkloadResult  58: 2048 op, 813535950.00 ns, 397.2344 us/op
WorkloadResult  59: 2048 op, 775442950.00 ns, 378.6343 us/op
WorkloadResult  60: 2048 op, 811432450.00 ns, 396.2073 us/op
WorkloadResult  61: 2048 op, 813308950.00 ns, 397.1235 us/op
WorkloadResult  62: 2048 op, 885983950.00 ns, 432.6094 us/op
WorkloadResult  63: 2048 op, 792183850.00 ns, 386.8085 us/op
WorkloadResult  64: 2048 op, 865637350.00 ns, 422.6745 us/op
WorkloadResult  65: 2048 op, 845495750.00 ns, 412.8397 us/op
WorkloadResult  66: 2048 op, 915726250.00 ns, 447.1320 us/op
WorkloadResult  67: 2048 op, 908203950.00 ns, 443.4590 us/op
WorkloadResult  68: 2048 op, 973094450.00 ns, 475.1438 us/op
WorkloadResult  69: 2048 op, 828126450.00 ns, 404.3586 us/op
WorkloadResult  70: 2048 op, 834035750.00 ns, 407.2440 us/op
WorkloadResult  71: 2048 op, 792126650.00 ns, 386.7806 us/op
WorkloadResult  72: 2048 op, 844768750.00 ns, 412.4847 us/op
WorkloadResult  73: 2048 op, 820436950.00 ns, 400.6040 us/op
WorkloadResult  74: 2048 op, 809810350.00 ns, 395.4152 us/op
WorkloadResult  75: 2048 op, 761562450.00 ns, 371.8567 us/op
WorkloadResult  76: 2048 op, 814362850.00 ns, 397.6381 us/op
WorkloadResult  77: 2048 op, 757631750.00 ns, 369.9374 us/op
WorkloadResult  78: 2048 op, 791467350.00 ns, 386.4587 us/op
WorkloadResult  79: 2048 op, 792344450.00 ns, 386.8869 us/op
WorkloadResult  80: 2048 op, 833246150.00 ns, 406.8585 us/op
WorkloadResult  81: 2048 op, 801448150.00 ns, 391.3321 us/op
WorkloadResult  82: 2048 op, 742820150.00 ns, 362.7052 us/op
WorkloadResult  83: 2048 op, 906528950.00 ns, 442.6411 us/op
