// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\241af59a-5be8-4545-b632-700849791d81
// command took 2.95s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\241af59a-5be8-4545-b632-700849791d81
// command took 4.63s and exited with 0
// ***** Done, took 00:00:07 (7.81 sec)   *****
// Found 4 benchmarks:
//   Benchmarker.MultiplyAvx: Core(Runtime=Core)
//   Benchmarker.MultiplyFma: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicSingle: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup4: Core(Runtime=Core)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Benchmarker.MultiplyAvx: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "241af59a-5be8-4545-b632-700849791d81.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyAvx" --job "Core" --benchmarkId 0 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\241af59a-5be8-4545-b632-700849791d81\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

WorkloadActual  24: 1024 op, 449233100.00 ns, 438.7042 us/op
WorkloadActual  25: 1024 op, 395094900.00 ns, 385.8349 us/op
WorkloadActual  26: 1024 op, 427684300.00 ns, 417.6604 us/op
WorkloadActual  27: 1024 op, 411880200.00 ns, 402.2268 us/op
WorkloadActual  28: 1024 op, 407690000.00 ns, 398.1348 us/op
WorkloadActual  29: 1024 op, 429418300.00 ns, 419.3538 us/op
WorkloadActual  30: 1024 op, 378609300.00 ns, 369.7356 us/op
WorkloadActual  31: 1024 op, 431805900.00 ns, 421.6854 us/op
WorkloadActual  32: 1024 op, 420133900.00 ns, 410.2870 us/op
WorkloadActual  33: 1024 op, 393158100.00 ns, 383.9435 us/op
WorkloadActual  34: 1024 op, 406237900.00 ns, 396.7167 us/op
WorkloadActual  35: 1024 op, 417042800.00 ns, 407.2684 us/op
WorkloadActual  36: 1024 op, 429463400.00 ns, 419.3979 us/op
WorkloadActual  37: 1024 op, 417905800.00 ns, 408.1111 us/op
WorkloadActual  38: 1024 op, 407594200.00 ns, 398.0412 us/op
WorkloadActual  39: 1024 op, 406731100.00 ns, 397.1983 us/op
WorkloadActual  40: 1024 op, 410229500.00 ns, 400.6147 us/op
WorkloadActual  41: 1024 op, 417239700.00 ns, 407.4606 us/op
WorkloadActual  42: 1024 op, 385739200.00 ns, 376.6984 us/op
WorkloadActual  43: 1024 op, 410047700.00 ns, 400.4372 us/op
WorkloadActual  44: 1024 op, 415897100.00 ns, 406.1495 us/op
WorkloadActual  45: 1024 op, 426794900.00 ns, 416.7919 us/op
WorkloadActual  46: 1024 op, 451625700.00 ns, 441.0407 us/op
WorkloadActual  47: 1024 op, 430054800.00 ns, 419.9754 us/op
WorkloadActual  48: 1024 op, 483785300.00 ns, 472.4466 us/op
WorkloadActual  49: 1024 op, 444232000.00 ns, 433.8203 us/op
WorkloadActual  50: 1024 op, 493890000.00 ns, 482.3145 us/op
WorkloadActual  51: 1024 op, 479363100.00 ns, 468.1280 us/op
WorkloadActual  52: 1024 op, 433106300.00 ns, 422.9554 us/op
WorkloadActual  53: 1024 op, 468314000.00 ns, 457.3379 us/op
WorkloadActual  54: 1024 op, 427787600.00 ns, 417.7613 us/op
WorkloadActual  55: 1024 op, 455787000.00 ns, 445.1045 us/op
WorkloadActual  56: 1024 op, 435520100.00 ns, 425.3126 us/op
WorkloadActual  57: 1024 op, 399436700.00 ns, 390.0749 us/op
WorkloadActual  58: 1024 op, 459478300.00 ns, 448.7093 us/op
WorkloadActual  59: 1024 op, 422602300.00 ns, 412.6976 us/op
WorkloadActual  60: 1024 op, 440344300.00 ns, 430.0237 us/op
WorkloadActual  61: 1024 op, 443852800.00 ns, 433.4500 us/op
WorkloadActual  62: 1024 op, 413773100.00 ns, 404.0753 us/op
WorkloadActual  63: 1024 op, 440069100.00 ns, 429.7550 us/op
WorkloadActual  64: 1024 op, 420160400.00 ns, 410.3129 us/op
WorkloadActual  65: 1024 op, 462044400.00 ns, 451.2152 us/op
WorkloadActual  66: 1024 op, 406434200.00 ns, 396.9084 us/op
WorkloadActual  67: 1024 op, 431830400.00 ns, 421.7094 us/op
WorkloadActual  68: 1024 op, 443161800.00 ns, 432.7752 us/op
WorkloadActual  69: 1024 op, 408245900.00 ns, 398.6776 us/op
WorkloadActual  70: 1024 op, 428008900.00 ns, 417.9774 us/op
WorkloadActual  71: 1024 op, 443453700.00 ns, 433.0603 us/op
WorkloadActual  72: 1024 op, 483289400.00 ns, 471.9623 us/op
WorkloadActual  73: 1024 op, 471194700.00 ns, 460.1511 us/op
WorkloadActual  74: 1024 op, 410602900.00 ns, 400.9794 us/op
WorkloadActual  75: 1024 op, 411884100.00 ns, 402.2306 us/op
WorkloadActual  76: 1024 op, 424441100.00 ns, 414.4933 us/op
WorkloadActual  77: 1024 op, 428384600.00 ns, 418.3443 us/op
WorkloadActual  78: 1024 op, 429478500.00 ns, 419.4126 us/op
WorkloadActual  79: 1024 op, 410388200.00 ns, 400.7697 us/op
WorkloadActual  80: 1024 op, 409217100.00 ns, 399.6261 us/op
WorkloadActual  81: 1024 op, 421928600.00 ns, 412.0396 us/op
WorkloadActual  82: 1024 op, 449500300.00 ns, 438.9651 us/op
WorkloadActual  83: 1024 op, 401851600.00 ns, 392.4332 us/op
WorkloadActual  84: 1024 op, 453559600.00 ns, 442.9293 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 427245900.00 ns, 417.2323 us/op
WorkloadResult   2: 1024 op, 427431600.00 ns, 417.4137 us/op
WorkloadResult   3: 1024 op, 420128300.00 ns, 410.2815 us/op
WorkloadResult   4: 1024 op, 435611500.00 ns, 425.4019 us/op
WorkloadResult   5: 1024 op, 421086700.00 ns, 411.2175 us/op
WorkloadResult   6: 1024 op, 443938300.00 ns, 433.5335 us/op
WorkloadResult   7: 1024 op, 418592500.00 ns, 408.7817 us/op
WorkloadResult   8: 1024 op, 415305200.00 ns, 405.5715 us/op
WorkloadResult   9: 1024 op, 464871200.00 ns, 453.9758 us/op
WorkloadResult  10: 1024 op, 409838400.00 ns, 400.2328 us/op
WorkloadResult  11: 1024 op, 435287200.00 ns, 425.0852 us/op
WorkloadResult  12: 1024 op, 430263300.00 ns, 420.1790 us/op
WorkloadResult  13: 1024 op, 446446400.00 ns, 435.9828 us/op
WorkloadResult  14: 1024 op, 429593600.00 ns, 419.5250 us/op
WorkloadResult  15: 1024 op, 383626100.00 ns, 374.6349 us/op
WorkloadResult  16: 1024 op, 437224400.00 ns, 426.9770 us/op
WorkloadResult  17: 1024 op, 402608200.00 ns, 393.1721 us/op
WorkloadResult  18: 1024 op, 398791600.00 ns, 389.4449 us/op
WorkloadResult  19: 1024 op, 423986700.00 ns, 414.0495 us/op
WorkloadResult  20: 1024 op, 383327500.00 ns, 374.3433 us/op
WorkloadResult  21: 1024 op, 447283600.00 ns, 436.8004 us/op
WorkloadResult  22: 1024 op, 395207900.00 ns, 385.9452 us/op
WorkloadResult  23: 1024 op, 404684400.00 ns, 395.1996 us/op
WorkloadResult  24: 1024 op, 449233100.00 ns, 438.7042 us/op
WorkloadResult  25: 1024 op, 395094900.00 ns, 385.8349 us/op
WorkloadResult  26: 1024 op, 427684300.00 ns, 417.6604 us/op
WorkloadResult  27: 1024 op, 411880200.00 ns, 402.2268 us/op
WorkloadResult  28: 1024 op, 407690000.00 ns, 398.1348 us/op
WorkloadResult  29: 1024 op, 429418300.00 ns, 419.3538 us/op
WorkloadResult  30: 1024 op, 378609300.00 ns, 369.7356 us/op
WorkloadResult  31: 1024 op, 431805900.00 ns, 421.6854 us/op
WorkloadResult  32: 1024 op, 420133900.00 ns, 410.2870 us/op
WorkloadResult  33: 1024 op, 393158100.00 ns, 383.9435 us/op
WorkloadResult  34: 1024 op, 406237900.00 ns, 396.7167 us/op
WorkloadResult  35: 1024 op, 417042800.00 ns, 407.2684 us/op
WorkloadResult  36: 1024 op, 429463400.00 ns, 419.3979 us/op
WorkloadResult  37: 1024 op, 417905800.00 ns, 408.1111 us/op
WorkloadResult  38: 1024 op, 407594200.00 ns, 398.0412 us/op
WorkloadResult  39: 1024 op, 406731100.00 ns, 397.1983 us/op
WorkloadResult  40: 1024 op, 410229500.00 ns, 400.6147 us/op
WorkloadResult  41: 1024 op, 417239700.00 ns, 407.4606 us/op
WorkloadResult  42: 1024 op, 385739200.00 ns, 376.6984 us/op
WorkloadResult  43: 1024 op, 410047700.00 ns, 400.4372 us/op
WorkloadResult  44: 1024 op, 415897100.00 ns, 406.1495 us/op
WorkloadResult  45: 1024 op, 426794900.00 ns, 416.7919 us/op
WorkloadResult  46: 1024 op, 451625700.00 ns, 441.0407 us/op
WorkloadResult  47: 1024 op, 430054800.00 ns, 419.9754 us/op
WorkloadResult  48: 1024 op, 483785300.00 ns, 472.4466 us/op
WorkloadResult  49: 1024 op, 444232000.00 ns, 433.8203 us/op
WorkloadResult  50: 1024 op, 479363100.00 ns, 468.1280 us/op
WorkloadResult  51: 1024 op, 433106300.00 ns, 422.9554 us/op
WorkloadResult  52: 1024 op, 468314000.00 ns, 457.3379 us/op
WorkloadResult  53: 1024 op, 427787600.00 ns, 417.7613 us/op
WorkloadResult  54: 1024 op, 455787000.00 ns, 445.1045 us/op
WorkloadResult  55: 1024 op, 435520100.00 ns, 425.3126 us/op
WorkloadResult  56: 1024 op, 399436700.00 ns, 390.0749 us/op
WorkloadResult  57: 1024 op, 459478300.00 ns, 448.7093 us/op
WorkloadResult  58: 1024 op, 422602300.00 ns, 412.6976 us/op
WorkloadResult  59: 1024 op, 440344300.00 ns, 430.0237 us/op
WorkloadResult  60: 1024 op, 443852800.00 ns, 433.4500 us/op
WorkloadResult  61: 1024 op, 413773100.00 ns, 404.0753 us/op
WorkloadResult  62: 1024 op, 440069100.00 ns, 429.7550 us/op
WorkloadResult  63: 1024 op, 420160400.00 ns, 410.3129 us/op
WorkloadResult  64: 1024 op, 462044400.00 ns, 451.2152 us/op
WorkloadResult  65: 1024 op, 406434200.00 ns, 396.9084 us/op
WorkloadResult  66: 1024 op, 431830400.00 ns, 421.7094 us/op
WorkloadResult  67: 1024 op, 443161800.00 ns, 432.7752 us/op
WorkloadResult  68: 1024 op, 408245900.00 ns, 398.6776 us/op
WorkloadResult  69: 1024 op, 428008900.00 ns, 417.9774 us/op
WorkloadResult  70: 1024 op, 443453700.00 ns, 433.0603 us/op
WorkloadResult  71: 1024 op, 483289400.00 ns, 471.9623 us/op
WorkloadResult  72: 1024 op, 471194700.00 ns, 460.1511 us/op
WorkloadResult  73: 1024 op, 410602900.00 ns, 400.9794 us/op
WorkloadResult  74: 1024 op, 411884100.00 ns, 402.2306 us/op
WorkloadResult  75: 1024 op, 424441100.00 ns, 414.4933 us/op
WorkloadResult  76: 1024 op, 428384600.00 ns, 418.3443 us/op
WorkloadResult  77: 1024 op, 429478500.00 ns, 419.4126 us/op
WorkloadResult  78: 1024 op, 410388200.00 ns, 400.7697 us/op
WorkloadResult  79: 1024 op, 409217100.00 ns, 399.6261 us/op
WorkloadResult  80: 1024 op, 421928600.00 ns, 412.0396 us/op
WorkloadResult  81: 1024 op, 449500300.00 ns, 438.9651 us/op
WorkloadResult  82: 1024 op, 401851600.00 ns, 392.4332 us/op
WorkloadResult  83: 1024 op, 453559600.00 ns, 442.9293 us/op
GC:  0 0 0 0 1024

// AfterAll

Mean = 416.2298 us, StdErr = 2.4388 us (0.59%); N = 83, StdDev = 22.2189 us
Min = 369.7356 us, Q1 = 400.4372 us, Median = 416.7919 us, Q3 = 430.0237 us, Max = 472.4466 us
IQR = 29.5865 us, LowerFence = 356.0574 us, UpperFence = 474.4035 us
ConfidenceInterval = [407.9057 us; 424.5540 us] (CI 99.9%), Margin = 8.3242 us (2.00% of Mean)
Skewness = 0.4, Kurtosis = 2.97, MValue = 2.42

// **************************
// Benchmark: Benchmarker.MultiplyFma: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "241af59a-5be8-4545-b632-700849791d81.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyFma" --job "Core" --benchmarkId 1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\241af59a-5be8-4545-b632-700849791d81\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 481500.00 ns, 481.5000 us/op
WorkloadJitting  1: 1 op, 8600100.00 ns, 8.6001 ms/op

OverheadJitting  2: 16 op, 489800.00 ns, 30.6125 us/op
WorkloadJitting  2: 16 op, 5564300.00 ns, 347.7688 us/op

WorkloadPilot    1: 16 op, 9047600.00 ns, 565.4750 us/op
WorkloadPilot    2: 32 op, 15242800.00 ns, 476.3375 us/op
WorkloadPilot    3: 64 op, 21113500.00 ns, 329.8984 us/op
WorkloadPilot    4: 128 op, 50453400.00 ns, 394.1672 us/op
WorkloadPilot    5: 256 op, 110550000.00 ns, 431.8359 us/op
WorkloadPilot    6: 512 op, 250736700.00 ns, 489.7201 us/op
WorkloadPilot    7: 1024 op, 388262000.00 ns, 379.1621 us/op
WorkloadPilot    8: 2048 op, 849302400.00 ns, 414.6984 us/op

OverheadWarmup   1: 2048 op, 6400.00 ns, 3.1250 ns/op
OverheadWarmup   2: 2048 op, 3700.00 ns, 1.8066 ns/op
OverheadWarmup   3: 2048 op, 22700.00 ns, 11.0840 ns/op
OverheadWarmup   4: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadWarmup   5: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadWarmup   6: 2048 op, 3800.00 ns, 1.8555 ns/op

OverheadActual   1: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual   2: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual   3: 2048 op, 3600.00 ns, 1.7578 ns/op
OverheadActual   4: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual   5: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual   6: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual   7: 2048 op, 5400.00 ns, 2.6367 ns/op
OverheadActual   8: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual   9: 2048 op, 3700.00 ns, 1.8066 ns/op
OverheadActual  10: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual  11: 2048 op, 3700.00 ns, 1.8066 ns/op
OverheadActual  12: 2048 op, 3700.00 ns, 1.8066 ns/op
OverheadActual  13: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual  14: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual  15: 2048 op, 5900.00 ns, 2.8809 ns/op

WorkloadWarmup   1: 2048 op, 860776100.00 ns, 420.3008 us/op
WorkloadWarmup   2: 2048 op, 844381800.00 ns, 412.2958 us/op
WorkloadWarmup   3: 2048 op, 848767100.00 ns, 414.4371 us/op
WorkloadWarmup   4: 2048 op, 832676100.00 ns, 406.5801 us/op
WorkloadWarmup   5: 2048 op, 870650800.00 ns, 425.1225 us/op
WorkloadWarmup   6: 2048 op, 939356800.00 ns, 458.6703 us/op
WorkloadWarmup   7: 2048 op, 822018600.00 ns, 401.3763 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 865222600.00 ns, 422.4720 us/op
WorkloadActual   2: 2048 op, 840074400.00 ns, 410.1926 us/op
WorkloadActual   3: 2048 op, 843235600.00 ns, 411.7361 us/op
WorkloadActual   4: 2048 op, 895764500.00 ns, 437.3850 us/op
WorkloadActual   5: 2048 op, 857043300.00 ns, 418.4782 us/op
WorkloadActual   6: 2048 op, 831558900.00 ns, 406.0346 us/op
WorkloadActual   7: 2048 op, 828474700.00 ns, 404.5287 us/op
WorkloadActual   8: 2048 op, 856808800.00 ns, 418.3637 us/op
WorkloadActual   9: 2048 op, 839441400.00 ns, 409.8835 us/op
WorkloadActual  10: 2048 op, 845051300.00 ns, 412.6227 us/op
WorkloadActual  11: 2048 op, 818764500.00 ns, 399.7874 us/op
WorkloadActual  12: 2048 op, 811879700.00 ns, 396.4256 us/op
WorkloadActual  13: 2048 op, 838046600.00 ns, 409.2024 us/op
WorkloadActual  14: 2048 op, 851635200.00 ns, 415.8375 us/op
WorkloadActual  15: 2048 op, 829615400.00 ns, 405.0856 us/op
WorkloadActual  16: 2048 op, 847982100.00 ns, 414.0538 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 865218800.00 ns, 422.4701 us/op
WorkloadResult   2: 2048 op, 840070600.00 ns, 410.1907 us/op
WorkloadResult   3: 2048 op, 843231800.00 ns, 411.7343 us/op
WorkloadResult   4: 2048 op, 857039500.00 ns, 418.4763 us/op
WorkloadResult   5: 2048 op, 831555100.00 ns, 406.0328 us/op
WorkloadResult   6: 2048 op, 828470900.00 ns, 404.5268 us/op
WorkloadResult   7: 2048 op, 856805000.00 ns, 418.3618 us/op
WorkloadResult   8: 2048 op, 839437600.00 ns, 409.8816 us/op
WorkloadResult   9: 2048 op, 845047500.00 ns, 412.6208 us/op
WorkloadResult  10: 2048 op, 818760700.00 ns, 399.7855 us/op
WorkloadResult  11: 2048 op, 811875900.00 ns, 396.4238 us/op
WorkloadResult  12: 2048 op, 838042800.00 ns, 409.2006 us/op
WorkloadResult  13: 2048 op, 851631400.00 ns, 415.8356 us/op
WorkloadResult  14: 2048 op, 829611600.00 ns, 405.0838 us/op
WorkloadResult  15: 2048 op, 847978300.00 ns, 414.0519 us/op
GC:  0 0 0 0 2048

// AfterAll

Mean = 410.3118 us, StdErr = 1.8457 us (0.45%); N = 15, StdDev = 7.1483 us
Min = 396.4238 us, Q1 = 405.0838 us, Median = 410.1907 us, Q3 = 415.8356 us, Max = 422.4701 us
IQR = 10.7519 us, LowerFence = 388.9560 us, UpperFence = 431.9634 us
ConfidenceInterval = [402.6698 us; 417.9537 us] (CI 99.9%), Margin = 7.6419 us (1.86% of Mean)
Skewness = -0.21, Kurtosis = 2.13, MValue = 2

// **************************
// Benchmark: Benchmarker.MultiplyClassicSingle: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "241af59a-5be8-4545-b632-700849791d81.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyClassicSingle" --job "Core" --benchmarkId 2 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\241af59a-5be8-4545-b632-700849791d81\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 352700.00 ns, 352.7000 us/op
WorkloadJitting  1: 1 op, 4072800.00 ns, 4.0728 ms/op

OverheadJitting  2: 16 op, 823900.00 ns, 51.4937 us/op
WorkloadJitting  2: 16 op, 22665900.00 ns, 1.4166 ms/op

WorkloadPilot    1: 16 op, 21560100.00 ns, 1.3475 ms/op
WorkloadPilot    2: 32 op, 47597300.00 ns, 1.4874 ms/op
WorkloadPilot    3: 64 op, 89519600.00 ns, 1.3987 ms/op
WorkloadPilot    4: 128 op, 176919500.00 ns, 1.3822 ms/op
WorkloadPilot    5: 256 op, 353478800.00 ns, 1.3808 ms/op
WorkloadPilot    6: 512 op, 720551400.00 ns, 1.4073 ms/op

OverheadWarmup   1: 512 op, 8400.00 ns, 16.4062 ns/op
OverheadWarmup   2: 512 op, 1800.00 ns, 3.5156 ns/op
OverheadWarmup   3: 512 op, 2200.00 ns, 4.2969 ns/op
OverheadWarmup   4: 512 op, 3100.00 ns, 6.0547 ns/op
OverheadWarmup   5: 512 op, 1500.00 ns, 2.9297 ns/op
OverheadWarmup   6: 512 op, 1800.00 ns, 3.5156 ns/op
OverheadWarmup   7: 512 op, 1500.00 ns, 2.9297 ns/op

OverheadActual   1: 512 op, 1900.00 ns, 3.7109 ns/op
OverheadActual   2: 512 op, 1500.00 ns, 2.9297 ns/op
OverheadActual   3: 512 op, 1700.00 ns, 3.3203 ns/op
OverheadActual   4: 512 op, 1500.00 ns, 2.9297 ns/op
OverheadActual   5: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual   6: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual   7: 512 op, 1800.00 ns, 3.5156 ns/op
OverheadActual   8: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual   9: 512 op, 14700.00 ns, 28.7109 ns/op
OverheadActual  10: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual  11: 512 op, 1300.00 ns, 2.5391 ns/op
OverheadActual  12: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual  13: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual  14: 512 op, 1700.00 ns, 3.3203 ns/op
OverheadActual  15: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual  16: 512 op, 2700.00 ns, 5.2734 ns/op
OverheadActual  17: 512 op, 1800.00 ns, 3.5156 ns/op
OverheadActual  18: 512 op, 2100.00 ns, 4.1016 ns/op
