// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\7c0c59ef-ba37-41df-8519-7f28d2f176c2
// command took 2.82s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\7c0c59ef-ba37-41df-8519-7f28d2f176c2
// command took 6.91s and exited with 0
// ***** Done, took 00:00:10 (10.04 sec)   *****
// Found 4 benchmarks:
//   Benchmarker.MultiplyAvx: Core(Runtime=Core)
//   Benchmarker.MultiplyFma: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicSingle: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup4: Core(Runtime=Core)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Benchmarker.MultiplyAvx: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7c0c59ef-ba37-41df-8519-7f28d2f176c2.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyAvx" --job "Core" --benchmarkId 0 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\7c0c59ef-ba37-41df-8519-7f28d2f176c2\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

WorkloadActual   8: 1024 op, 433406800.00 ns, 423.2488 us/op
WorkloadActual   9: 1024 op, 510157600.00 ns, 498.2008 us/op
WorkloadActual  10: 1024 op, 467222500.00 ns, 456.2720 us/op
WorkloadActual  11: 1024 op, 490152100.00 ns, 478.6642 us/op
WorkloadActual  12: 1024 op, 506199500.00 ns, 494.3354 us/op
WorkloadActual  13: 1024 op, 484787800.00 ns, 473.4256 us/op
WorkloadActual  14: 1024 op, 494931100.00 ns, 483.3312 us/op
WorkloadActual  15: 1024 op, 534461200.00 ns, 521.9348 us/op
WorkloadActual  16: 1024 op, 499886500.00 ns, 488.1704 us/op
WorkloadActual  17: 1024 op, 494534500.00 ns, 482.9438 us/op
WorkloadActual  18: 1024 op, 470293500.00 ns, 459.2710 us/op
WorkloadActual  19: 1024 op, 553195900.00 ns, 540.2304 us/op
WorkloadActual  20: 1024 op, 488477900.00 ns, 477.0292 us/op
WorkloadActual  21: 1024 op, 503666200.00 ns, 491.8615 us/op
WorkloadActual  22: 1024 op, 522642400.00 ns, 510.3930 us/op
WorkloadActual  23: 1024 op, 558302200.00 ns, 545.2170 us/op
WorkloadActual  24: 1024 op, 602195900.00 ns, 588.0819 us/op
WorkloadActual  25: 1024 op, 727441700.00 ns, 710.3923 us/op
WorkloadActual  26: 1024 op, 628846100.00 ns, 614.1075 us/op
WorkloadActual  27: 1024 op, 675126600.00 ns, 659.3033 us/op
WorkloadActual  28: 1024 op, 653607700.00 ns, 638.2888 us/op
WorkloadActual  29: 1024 op, 675494500.00 ns, 659.6626 us/op
WorkloadActual  30: 1024 op, 679616900.00 ns, 663.6884 us/op
WorkloadActual  31: 1024 op, 638237500.00 ns, 623.2788 us/op
WorkloadActual  32: 1024 op, 570496100.00 ns, 557.1251 us/op
WorkloadActual  33: 1024 op, 543242000.00 ns, 530.5098 us/op
WorkloadActual  34: 1024 op, 495241100.00 ns, 483.6339 us/op
WorkloadActual  35: 1024 op, 534051500.00 ns, 521.5347 us/op
WorkloadActual  36: 1024 op, 552476700.00 ns, 539.5280 us/op
WorkloadActual  37: 1024 op, 567144100.00 ns, 553.8517 us/op
WorkloadActual  38: 1024 op, 476386200.00 ns, 465.2209 us/op
WorkloadActual  39: 1024 op, 550556100.00 ns, 537.6524 us/op
WorkloadActual  40: 1024 op, 533508000.00 ns, 521.0039 us/op
WorkloadActual  41: 1024 op, 546254500.00 ns, 533.4517 us/op
WorkloadActual  42: 1024 op, 538258000.00 ns, 525.6426 us/op
WorkloadActual  43: 1024 op, 564517500.00 ns, 551.2866 us/op
WorkloadActual  44: 1024 op, 566402200.00 ns, 553.1271 us/op
WorkloadActual  45: 1024 op, 567411500.00 ns, 554.1128 us/op
WorkloadActual  46: 1024 op, 553074900.00 ns, 540.1122 us/op
WorkloadActual  47: 1024 op, 566193600.00 ns, 552.9234 us/op
WorkloadActual  48: 1024 op, 573765900.00 ns, 560.3183 us/op
WorkloadActual  49: 1024 op, 556306700.00 ns, 543.2683 us/op
WorkloadActual  50: 1024 op, 641504200.00 ns, 626.4689 us/op
WorkloadActual  51: 1024 op, 583461300.00 ns, 569.7864 us/op
WorkloadActual  52: 1024 op, 603447500.00 ns, 589.3042 us/op
WorkloadActual  53: 1024 op, 515922400.00 ns, 503.8305 us/op
WorkloadActual  54: 1024 op, 600125800.00 ns, 586.0604 us/op
WorkloadActual  55: 1024 op, 481253000.00 ns, 469.9736 us/op
WorkloadActual  56: 1024 op, 567833400.00 ns, 554.5248 us/op
WorkloadActual  57: 1024 op, 508020400.00 ns, 496.1137 us/op
WorkloadActual  58: 1024 op, 617680900.00 ns, 603.2040 us/op
WorkloadActual  59: 1024 op, 616349900.00 ns, 601.9042 us/op
WorkloadActual  60: 1024 op, 570714200.00 ns, 557.3381 us/op
WorkloadActual  61: 1024 op, 536849200.00 ns, 524.2668 us/op
WorkloadActual  62: 1024 op, 584602400.00 ns, 570.9008 us/op
WorkloadActual  63: 1024 op, 678623200.00 ns, 662.7180 us/op
WorkloadActual  64: 1024 op, 838247500.00 ns, 818.6011 us/op
WorkloadActual  65: 1024 op, 726326800.00 ns, 709.3035 us/op
WorkloadActual  66: 1024 op, 607637200.00 ns, 593.3957 us/op
WorkloadActual  67: 1024 op, 509025900.00 ns, 497.0956 us/op
WorkloadActual  68: 1024 op, 549719600.00 ns, 536.8355 us/op
WorkloadActual  69: 1024 op, 491527200.00 ns, 480.0070 us/op
WorkloadActual  70: 1024 op, 551586700.00 ns, 538.6589 us/op
WorkloadActual  71: 1024 op, 509830200.00 ns, 497.8811 us/op
WorkloadActual  72: 1024 op, 535644000.00 ns, 523.0898 us/op
WorkloadActual  73: 1024 op, 469978200.00 ns, 458.9631 us/op
WorkloadActual  74: 1024 op, 543098300.00 ns, 530.3694 us/op
WorkloadActual  75: 1024 op, 540175600.00 ns, 527.5152 us/op
WorkloadActual  76: 1024 op, 601498700.00 ns, 587.4011 us/op
WorkloadActual  77: 1024 op, 530017500.00 ns, 517.5952 us/op
WorkloadActual  78: 1024 op, 523811700.00 ns, 511.5349 us/op
WorkloadActual  79: 1024 op, 500076900.00 ns, 488.3563 us/op
WorkloadActual  80: 1024 op, 503790100.00 ns, 491.9825 us/op
WorkloadActual  81: 1024 op, 505415300.00 ns, 493.5696 us/op
WorkloadActual  82: 1024 op, 550594700.00 ns, 537.6901 us/op
WorkloadActual  83: 1024 op, 569477900.00 ns, 556.1308 us/op
WorkloadActual  84: 1024 op, 611990700.00 ns, 597.6472 us/op
WorkloadActual  85: 1024 op, 623369400.00 ns, 608.7592 us/op
WorkloadActual  86: 1024 op, 489915000.00 ns, 478.4326 us/op
WorkloadActual  87: 1024 op, 514229100.00 ns, 502.1769 us/op
WorkloadActual  88: 1024 op, 514803700.00 ns, 502.7380 us/op
WorkloadActual  89: 1024 op, 472836300.00 ns, 461.7542 us/op
WorkloadActual  90: 1024 op, 571325600.00 ns, 557.9352 us/op
WorkloadActual  91: 1024 op, 474146600.00 ns, 463.0338 us/op
WorkloadActual  92: 1024 op, 600685100.00 ns, 586.6065 us/op
WorkloadActual  93: 1024 op, 590457100.00 ns, 576.6183 us/op
WorkloadActual  94: 1024 op, 624413600.00 ns, 609.7789 us/op
WorkloadActual  95: 1024 op, 541814500.00 ns, 529.1157 us/op
WorkloadActual  96: 1024 op, 527616000.00 ns, 515.2500 us/op
WorkloadActual  97: 1024 op, 499286800.00 ns, 487.5848 us/op
WorkloadActual  98: 1024 op, 611479700.00 ns, 597.1481 us/op
WorkloadActual  99: 1024 op, 607463200.00 ns, 593.2258 us/op
WorkloadActual  100: 1024 op, 646761700.00 ns, 631.6032 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 541262850.00 ns, 528.5770 us/op
WorkloadResult   2: 1024 op, 476247950.00 ns, 465.0859 us/op
WorkloadResult   3: 1024 op, 521939750.00 ns, 509.7068 us/op
WorkloadResult   4: 1024 op, 496103350.00 ns, 484.4759 us/op
WorkloadResult   5: 1024 op, 589670750.00 ns, 575.8503 us/op
WorkloadResult   6: 1024 op, 479491850.00 ns, 468.2538 us/op
WorkloadResult   7: 1024 op, 591956650.00 ns, 578.0827 us/op
WorkloadResult   8: 1024 op, 433403550.00 ns, 423.2457 us/op
WorkloadResult   9: 1024 op, 510154350.00 ns, 498.1976 us/op
WorkloadResult  10: 1024 op, 467219250.00 ns, 456.2688 us/op
WorkloadResult  11: 1024 op, 490148850.00 ns, 478.6610 us/op
WorkloadResult  12: 1024 op, 506196250.00 ns, 494.3323 us/op
WorkloadResult  13: 1024 op, 484784550.00 ns, 473.4224 us/op
WorkloadResult  14: 1024 op, 494927850.00 ns, 483.3280 us/op
WorkloadResult  15: 1024 op, 534457950.00 ns, 521.9316 us/op
WorkloadResult  16: 1024 op, 499883250.00 ns, 488.1672 us/op
WorkloadResult  17: 1024 op, 494531250.00 ns, 482.9407 us/op
WorkloadResult  18: 1024 op, 470290250.00 ns, 459.2678 us/op
WorkloadResult  19: 1024 op, 553192650.00 ns, 540.2272 us/op
WorkloadResult  20: 1024 op, 488474650.00 ns, 477.0260 us/op
WorkloadResult  21: 1024 op, 503662950.00 ns, 491.8583 us/op
WorkloadResult  22: 1024 op, 522639150.00 ns, 510.3898 us/op
WorkloadResult  23: 1024 op, 558298950.00 ns, 545.2138 us/op
WorkloadResult  24: 1024 op, 602192650.00 ns, 588.0788 us/op
WorkloadResult  25: 1024 op, 727438450.00 ns, 710.3891 us/op
WorkloadResult  26: 1024 op, 628842850.00 ns, 614.1043 us/op
WorkloadResult  27: 1024 op, 675123350.00 ns, 659.3001 us/op
WorkloadResult  28: 1024 op, 653604450.00 ns, 638.2856 us/op
WorkloadResult  29: 1024 op, 675491250.00 ns, 659.6594 us/op
WorkloadResult  30: 1024 op, 679613650.00 ns, 663.6852 us/op
WorkloadResult  31: 1024 op, 638234250.00 ns, 623.2756 us/op
WorkloadResult  32: 1024 op, 570492850.00 ns, 557.1219 us/op
WorkloadResult  33: 1024 op, 543238750.00 ns, 530.5066 us/op
WorkloadResult  34: 1024 op, 495237850.00 ns, 483.6307 us/op
WorkloadResult  35: 1024 op, 534048250.00 ns, 521.5315 us/op
WorkloadResult  36: 1024 op, 552473450.00 ns, 539.5249 us/op
WorkloadResult  37: 1024 op, 567140850.00 ns, 553.8485 us/op
WorkloadResult  38: 1024 op, 476382950.00 ns, 465.2177 us/op
WorkloadResult  39: 1024 op, 550552850.00 ns, 537.6493 us/op
WorkloadResult  40: 1024 op, 533504750.00 ns, 521.0007 us/op
WorkloadResult  41: 1024 op, 546251250.00 ns, 533.4485 us/op
WorkloadResult  42: 1024 op, 538254750.00 ns, 525.6394 us/op
WorkloadResult  43: 1024 op, 564514250.00 ns, 551.2834 us/op
WorkloadResult  44: 1024 op, 566398950.00 ns, 553.1240 us/op
WorkloadResult  45: 1024 op, 567408250.00 ns, 554.1096 us/op
WorkloadResult  46: 1024 op, 553071650.00 ns, 540.1090 us/op
WorkloadResult  47: 1024 op, 566190350.00 ns, 552.9203 us/op
WorkloadResult  48: 1024 op, 573762650.00 ns, 560.3151 us/op
WorkloadResult  49: 1024 op, 556303450.00 ns, 543.2651 us/op
WorkloadResult  50: 1024 op, 641500950.00 ns, 626.4658 us/op
WorkloadResult  51: 1024 op, 583458050.00 ns, 569.7833 us/op
WorkloadResult  52: 1024 op, 603444250.00 ns, 589.3010 us/op
WorkloadResult  53: 1024 op, 515919150.00 ns, 503.8273 us/op
WorkloadResult  54: 1024 op, 600122550.00 ns, 586.0572 us/op
WorkloadResult  55: 1024 op, 481249750.00 ns, 469.9705 us/op
WorkloadResult  56: 1024 op, 567830150.00 ns, 554.5216 us/op
WorkloadResult  57: 1024 op, 508017150.00 ns, 496.1105 us/op
WorkloadResult  58: 1024 op, 617677650.00 ns, 603.2008 us/op
WorkloadResult  59: 1024 op, 616346650.00 ns, 601.9010 us/op
WorkloadResult  60: 1024 op, 570710950.00 ns, 557.3349 us/op
WorkloadResult  61: 1024 op, 536845950.00 ns, 524.2636 us/op
WorkloadResult  62: 1024 op, 584599150.00 ns, 570.8976 us/op
WorkloadResult  63: 1024 op, 678619950.00 ns, 662.7148 us/op
WorkloadResult  64: 1024 op, 726323550.00 ns, 709.3003 us/op
WorkloadResult  65: 1024 op, 607633950.00 ns, 593.3925 us/op
WorkloadResult  66: 1024 op, 509022650.00 ns, 497.0924 us/op
WorkloadResult  67: 1024 op, 549716350.00 ns, 536.8324 us/op
WorkloadResult  68: 1024 op, 491523950.00 ns, 480.0039 us/op
WorkloadResult  69: 1024 op, 551583450.00 ns, 538.6557 us/op
WorkloadResult  70: 1024 op, 509826950.00 ns, 497.8779 us/op
WorkloadResult  71: 1024 op, 535640750.00 ns, 523.0867 us/op
WorkloadResult  72: 1024 op, 469974950.00 ns, 458.9599 us/op
WorkloadResult  73: 1024 op, 543095050.00 ns, 530.3663 us/op
WorkloadResult  74: 1024 op, 540172350.00 ns, 527.5121 us/op
WorkloadResult  75: 1024 op, 601495450.00 ns, 587.3979 us/op
WorkloadResult  76: 1024 op, 530014250.00 ns, 517.5920 us/op
WorkloadResult  77: 1024 op, 523808450.00 ns, 511.5317 us/op
WorkloadResult  78: 1024 op, 500073650.00 ns, 488.3532 us/op
WorkloadResult  79: 1024 op, 503786850.00 ns, 491.9793 us/op
WorkloadResult  80: 1024 op, 505412050.00 ns, 493.5665 us/op
WorkloadResult  81: 1024 op, 550591450.00 ns, 537.6870 us/op
WorkloadResult  82: 1024 op, 569474650.00 ns, 556.1276 us/op
WorkloadResult  83: 1024 op, 611987450.00 ns, 597.6440 us/op
WorkloadResult  84: 1024 op, 623366150.00 ns, 608.7560 us/op
WorkloadResult  85: 1024 op, 489911750.00 ns, 478.4294 us/op
WorkloadResult  86: 1024 op, 514225850.00 ns, 502.1737 us/op
WorkloadResult  87: 1024 op, 514800450.00 ns, 502.7348 us/op
WorkloadResult  88: 1024 op, 472833050.00 ns, 461.7510 us/op
WorkloadResult  89: 1024 op, 571322350.00 ns, 557.9320 us/op
WorkloadResult  90: 1024 op, 474143350.00 ns, 463.0306 us/op
WorkloadResult  91: 1024 op, 600681850.00 ns, 586.6034 us/op
WorkloadResult  92: 1024 op, 590453850.00 ns, 576.6151 us/op
WorkloadResult  93: 1024 op, 624410350.00 ns, 609.7757 us/op
WorkloadResult  94: 1024 op, 541811250.00 ns, 529.1125 us/op
WorkloadResult  95: 1024 op, 527612750.00 ns, 515.2468 us/op
WorkloadResult  96: 1024 op, 499283550.00 ns, 487.5816 us/op
WorkloadResult  97: 1024 op, 611476450.00 ns, 597.1450 us/op
WorkloadResult  98: 1024 op, 607459950.00 ns, 593.2226 us/op
WorkloadResult  99: 1024 op, 646758450.00 ns, 631.6000 us/op
GC:  0 0 0 0 1024

// AfterAll

Mean = 540.4904 us, StdErr = 5.9020 us (1.09%); N = 99, StdDev = 58.7242 us
Min = 423.2457 us, Q1 = 493.5665 us, Median = 533.4485 us, Q3 = 578.0827 us, Max = 710.3891 us
IQR = 84.5162 us, LowerFence = 366.7921 us, UpperFence = 704.8570 us
ConfidenceInterval = [520.4674 us; 560.5135 us] (CI 99.9%), Margin = 20.0231 us (3.70% of Mean)
Skewness = 0.66, Kurtosis = 3.09, MValue = 4

// **************************
// Benchmark: Benchmarker.MultiplyFma: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7c0c59ef-ba37-41df-8519-7f28d2f176c2.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyFma" --job "Core" --benchmarkId 1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\7c0c59ef-ba37-41df-8519-7f28d2f176c2\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 421800.00 ns, 421.8000 us/op
WorkloadJitting  1: 1 op, 7627300.00 ns, 7.6273 ms/op

OverheadJitting  2: 16 op, 772100.00 ns, 48.2563 us/op
WorkloadJitting  2: 16 op, 8033700.00 ns, 502.1062 us/op

WorkloadPilot    1: 16 op, 9552400.00 ns, 597.0250 us/op
WorkloadPilot    2: 32 op, 18618700.00 ns, 581.8344 us/op
WorkloadPilot    3: 64 op, 28853000.00 ns, 450.8281 us/op
WorkloadPilot    4: 128 op, 69489600.00 ns, 542.8875 us/op
WorkloadPilot    5: 256 op, 144569100.00 ns, 564.7230 us/op
WorkloadPilot    6: 512 op, 211506500.00 ns, 413.0986 us/op
WorkloadPilot    7: 1024 op, 454265300.00 ns, 443.6185 us/op
WorkloadPilot    8: 2048 op, 923256500.00 ns, 450.8088 us/op

OverheadWarmup   1: 2048 op, 7500.00 ns, 3.6621 ns/op
OverheadWarmup   2: 2048 op, 7600.00 ns, 3.7109 ns/op
OverheadWarmup   3: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadWarmup   4: 2048 op, 4400.00 ns, 2.1484 ns/op
OverheadWarmup   5: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadWarmup   6: 2048 op, 4400.00 ns, 2.1484 ns/op

OverheadActual   1: 2048 op, 7800.00 ns, 3.8086 ns/op
OverheadActual   2: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadActual   3: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadActual   4: 2048 op, 6000.00 ns, 2.9297 ns/op
OverheadActual   5: 2048 op, 5700.00 ns, 2.7832 ns/op
OverheadActual   6: 2048 op, 6100.00 ns, 2.9785 ns/op
OverheadActual   7: 2048 op, 6000.00 ns, 2.9297 ns/op
OverheadActual   8: 2048 op, 6100.00 ns, 2.9785 ns/op
OverheadActual   9: 2048 op, 6300.00 ns, 3.0762 ns/op
OverheadActual  10: 2048 op, 5800.00 ns, 2.8320 ns/op
OverheadActual  11: 2048 op, 10100.00 ns, 4.9316 ns/op
OverheadActual  12: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadActual  13: 2048 op, 4400.00 ns, 2.1484 ns/op
OverheadActual  14: 2048 op, 11100.00 ns, 5.4199 ns/op
OverheadActual  15: 2048 op, 4400.00 ns, 2.1484 ns/op
OverheadActual  16: 2048 op, 5100.00 ns, 2.4902 ns/op
OverheadActual  17: 2048 op, 5900.00 ns, 2.8809 ns/op
OverheadActual  18: 2048 op, 5900.00 ns, 2.8809 ns/op
OverheadActual  19: 2048 op, 6400.00 ns, 3.1250 ns/op
OverheadActual  20: 2048 op, 4500.00 ns, 2.1973 ns/op

WorkloadWarmup   1: 2048 op, 1044270000.00 ns, 509.8975 us/op
WorkloadWarmup   2: 2048 op, 1097166300.00 ns, 535.7257 us/op
WorkloadWarmup   3: 2048 op, 1017728800.00 ns, 496.9379 us/op
WorkloadWarmup   4: 2048 op, 968947500.00 ns, 473.1189 us/op
WorkloadWarmup   5: 2048 op, 986236200.00 ns, 481.5606 us/op
WorkloadWarmup   6: 2048 op, 936396600.00 ns, 457.2249 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 996757000.00 ns, 486.6978 us/op
WorkloadActual   2: 2048 op, 956563700.00 ns, 467.0721 us/op
WorkloadActual   3: 2048 op, 921665400.00 ns, 450.0319 us/op
WorkloadActual   4: 2048 op, 901772200.00 ns, 440.3185 us/op
WorkloadActual   5: 2048 op, 962570500.00 ns, 470.0051 us/op
WorkloadActual   6: 2048 op, 861122000.00 ns, 420.4697 us/op
WorkloadActual   7: 2048 op, 1000052600.00 ns, 488.3069 us/op
WorkloadActual   8: 2048 op, 931019800.00 ns, 454.5995 us/op
WorkloadActual   9: 2048 op, 950493800.00 ns, 464.1083 us/op
WorkloadActual  10: 2048 op, 1046436900.00 ns, 510.9555 us/op
WorkloadActual  11: 2048 op, 1049431800.00 ns, 512.4179 us/op
WorkloadActual  12: 2048 op, 1004681400.00 ns, 490.5671 us/op
WorkloadActual  13: 2048 op, 944055500.00 ns, 460.9646 us/op
WorkloadActual  14: 2048 op, 928524800.00 ns, 453.3813 us/op
WorkloadActual  15: 2048 op, 983065900.00 ns, 480.0126 us/op
WorkloadActual  16: 2048 op, 931675800.00 ns, 454.9198 us/op
WorkloadActual  17: 2048 op, 938718200.00 ns, 458.3585 us/op
WorkloadActual  18: 2048 op, 903543300.00 ns, 441.1833 us/op
WorkloadActual  19: 2048 op, 929962200.00 ns, 454.0831 us/op
WorkloadActual  20: 2048 op, 927861000.00 ns, 453.0571 us/op
WorkloadActual  21: 2048 op, 958090900.00 ns, 467.8178 us/op
WorkloadActual  22: 2048 op, 957978100.00 ns, 467.7627 us/op
WorkloadActual  23: 2048 op, 985645200.00 ns, 481.2721 us/op
WorkloadActual  24: 2048 op, 925808100.00 ns, 452.0547 us/op
WorkloadActual  25: 2048 op, 939307700.00 ns, 458.6463 us/op
WorkloadActual  26: 2048 op, 894143800.00 ns, 436.5937 us/op
WorkloadActual  27: 2048 op, 900116300.00 ns, 439.5099 us/op
WorkloadActual  28: 2048 op, 926695300.00 ns, 452.4879 us/op
WorkloadActual  29: 2048 op, 920590900.00 ns, 449.5073 us/op
WorkloadActual  30: 2048 op, 930546800.00 ns, 454.3686 us/op
